id,Brightness,Mean B,Mean G,Mean R,Class
0,212.1804207,214.4441748,208.8956311,213.2014563,4
1,113.338,119.9692144,120.1804671,99.8641189,2
2,99.861663,101.7748344,110.3145695,87.495585,3
3,89.1011935,95.9692385,99.006,72.3282905,3
4,232.1001558,235.2107477,230.6621495,230.4275701,4
5,82.9412555,88.9617321,94.5196375,65.3423968,3
6,123.3481675,131.8874346,130.2931937,107.8638743,2
7,103.6406667,112.47,110.9106667,87.5413333,3
8,90.1944444,99.2815041,113.311,57.9908537,2
9,118.125,127.8097631,127.5254846,99.0394831,3
10,230.1628473,234.5705746,228.3238127,227.5941548,4
11,91.4393624,97.8544699,104.1122661,72.3513514,3
12,123.4518519,134.1955556,134.2977778,101.8622222,2
13,140.0454545,141.698,140.3841991,138.0541126,1
14,122.562,131.9102244,123.4164589,112.3591022,3
15,222.3816926,225.3756477,221.3186528,220.4507772,4
16,223.62,227.9912664,223.358,219.511,4
17,155.072,160.036,148.4504505,156.7297297,1
18,210.2198198,217.6756757,207.4108108,205.573,1
19,100.1352503,102.81,99.5591054,98.0367412,1
20,219.7981621,222.2526316,217.681203,219.4606516,4
21,161.369697,175.0681818,155.659,153.3818182,1
22,101.077381,108.889,115.0446429,79.2984694,3
23,165.769,162.3361345,162.7983193,172.1722689,1
24,220.4443816,223.6894796,219.1035068,218.5401584,4
25,105.3683959,110.0484379,121.9693322,84.0874176,2
26,21.4245907,15.4932079,17.722,31.0585162,3
27,208.4664452,212.8046512,206.5116279,206.083,1
28,158.4807437,175.8924303,149.9163347,149.6334661,1
29,201.9478114,208.510101,199.101,198.2323232,1
30,102.379,108.7568103,118.8434869,79.5368995,2
31,130.408,132.858209,124.2313433,134.1343284,1
32,34.197,32.883829,35.9962825,33.711,3
33,112.4764907,119.7182821,121.1587864,96.5524035,3
34,113.4343434,118.0384615,123.9895105,98.275,2
35,234.6308758,237.669,234.002474,232.2211776,4
36,191.7515723,202.9622642,187.3962264,184.8962264,1
37,171.1302211,169.029484,172.548,171.8132678,1
38,152.0404372,164.823,149.8032787,141.495,1
39,106.3451233,114.8287781,123.6133441,80.5932476,2
40,123.921,131.358,123.5338983,116.8707627,1
41,180.8903226,186.8258065,177.2645161,178.5806452,1
42,117.4687179,120.105641,118.2974359,114.003,1
43,169.0093633,170.0674157,165.0842697,171.8764045,1
44,140.1406728,143.1926606,140.2,137.0293578,1
45,167.775,172.0152284,164.177665,167.132,1
46,92.504,94.8246445,86.8388626,95.8483412,1
47,105.4745956,112.6623377,123.518797,80.2426521,2
48,121.5004803,134.9293948,128.3342939,101.2377522,2
49,230.218207,233.7494076,228.7008294,228.2043839,4
50,105.406,115.3732098,108.9738837,91.8711036,3
51,125.365,135.2022419,131.0042036,109.888837,3
52,167.344,167.1684588,163.0501792,171.8136201,1
53,95.4438479,103.304698,111.3315436,71.695302,2
54,111.7085515,124.555,120.2617801,90.309,2
55,103.1721073,109.126,110.8997701,89.4905747,2
56,93.1724485,99.914,96.089,83.5143288,1
57,57.691,61.4583333,62.3645833,49.25,2
58,115.0821256,129.2862319,118.9565217,97.0036232,2
59,115.9493562,125.793133,126.77,95.285,2
60,134.9006479,144.8855292,140.946,118.8704104,3
61,126.968,138.1796322,137.5134371,105.2107496,2
62,230.6522705,233.595,229.343671,229.0181484,4
63,222.212,225.783455,220.6216545,220.2311436,4
64,104.4881944,111.1354167,114.6298611,87.6993056,2
65,84.6651042,85.1921875,97.5828125,71.2203125,2
66,92.2031558,104.355,101.9408284,70.3136095,2
67,55.516,54.5487933,60.298,51.701,3
68,112.5037453,116.5,128.6292135,92.382,3
69,100.488,113.699,107.8948454,79.8701031,2
70,115.552,127.7852459,124.3885246,94.482,2
71,88.1232704,94.2716981,91.8578616,78.2402516,3
72,86.3013049,95.1992883,97.4395018,66.2651246,3
73,128.6976365,141.8312958,139.797,104.4645477,2
74,137.7428186,148.2255639,141.5367264,123.4661654,1
75,234.0498434,237.453,233.1004697,231.596,4
76,73.3972789,82.3142857,85.1265306,52.751,3
77,202.838,206.323339,199.7335605,202.4568995,4
78,133.4638298,146.549,140.6382979,113.2042553,2
