id,Brightness,Mean B,Mean G,Mean R,Class
0,196.4041995,202.8267717,193.496,192.8897638,1
1,212.1804207,214.4441748,208.8956311,213.2014563,4
2,137.605,144.3206522,134.2282609,134.2663043,1
3,206.3555556,218.9083333,203.175,196.9833333,1
4,187.1954887,202.1353383,181.3458647,178.1052632,1
5,232.1001558,235.2107477,230.6621495,230.4275701,4
6,195.9636591,192.891,192.6954887,202.3045113,1
7,90.1944444,99.2815041,113.311,57.9908537,2
8,116.796,118.706334,125.7946257,105.8867562,1
9,203.2957393,209.2932331,200.6616541,199.9323308,1
10,184.7368794,193.1808511,182.6106383,178.4191489,1
11,184.2823625,191.665,180.148,181.034,1
12,118.125,127.8097631,127.5254846,99.0394831,3
13,230.1628473,234.5705746,228.3238127,227.5941548,4
14,123.4518519,134.1955556,134.2977778,101.8622222,2
15,140.0454545,141.698,140.3841991,138.0541126,1
16,132.424,130.9916667,127.6583333,138.6222222,1
17,222.3816926,225.3756477,221.3186528,220.4507772,4
18,93.75,87.1737288,96.2161017,97.8601695,1
19,77.3352858,85.7417465,99.0777423,47.1863685,2
20,140.6101056,146.2126697,144.5452489,131.0723982,1
21,130.2063882,136.3292383,128.7002457,125.5896806,1
22,134.6322657,140.707,137.2064057,125.9833926,1
23,115.1134955,120.3984263,121.44,103.5021459,1
24,101.2907036,106.4845917,117.96,79.4275809,2
25,219.7981621,222.2526316,217.681203,219.4606516,4
26,216.9533056,219.67,214.7447989,216.445215,4
27,220.4443816,223.6894796,219.1035068,218.5401584,4
28,105.3683959,110.0484379,121.9693322,84.0874176,2
29,114.3646377,123.7521739,122.4756522,96.866,2
30,117.2882682,128.7117318,124.991,98.162,2
31,228.928499,232.9173428,228.0578093,225.8103448,4
32,97.948,103.7843407,114.604739,75.455,2
33,112.4764907,119.7182821,121.1587864,96.5524035,3
34,106.3451233,114.8287781,123.6133441,80.5932476,2
35,105.4745956,112.6623377,123.518797,80.2426521,2
36,230.218207,233.7494076,228.7008294,228.2043839,4
37,105.406,115.3732098,108.9738837,91.8711036,3
38,125.365,135.2022419,131.0042036,109.888837,3
39,135.597,145.5228785,141.168,120.1002496,3
40,95.4438479,103.304698,111.3315436,71.695302,2
41,94.5797419,105.225,104.5792549,73.935,2
42,124.9075269,124.0193548,119.9354839,130.7677419,1
43,134.9006479,144.8855292,140.946,118.8704104,3
44,174.602,179.0238095,170.534,174.2482993,1
45,126.968,138.1796322,137.5134371,105.2107496,2
46,227.8273152,229.21,227.3087693,226.963154,4
47,230.6522705,233.595,229.343671,229.0181484,4
48,100.488,113.699,107.8948454,79.8701031,2
49,127.0145166,137.0238291,132.931,111.0887428,3
50,202.838,206.323339,199.7335605,202.4568995,4
51,200.8461744,204.305,198.278,199.9554785,4
52,151.8926756,168.8251121,160.0627803,126.7901345,2
53,91.1192037,94.343,106.605244,72.4093227,2
54,106.8084046,116.1282051,113.2891738,91.0078348,3
55,114.4546271,124.8382749,121.593,96.9326146,2
56,86.135,96.1037182,97.5,64.8013699,2
57,174.4848485,192.1854545,169.4436364,161.8254545,1
58,230.7073102,235.679,230.4631668,225.9796782,1
59,100.606,109.7312572,114.4786621,77.6078431,2
60,162.6967419,169.0526316,158.639,160.3984962,1
61,122.0144676,132.217,129.4496528,104.3767361,2
62,165.1582181,169.576,163.1751152,162.7235023,1
63,89.5427729,100.9572271,95.885,71.7861357,1
64,116.551636,128.4355828,128.095,93.1242331,2
65,126.1505519,135.8556291,133.8092715,108.786755,2
66,168.6247444,178.4907975,164.4785276,162.905,1
67,124.7932489,138.9177215,123.5031646,111.9588608,1
68,123.6965699,136.1155673,132.332,102.6422164,3
69,217.3598683,220.183,215.2161534,216.6804184,4
70,117.8732694,127.2225772,125.3216187,101.0756124,2
71,129.7015432,140.113,142.813,106.1787037,2
72,124.439,137.4375329,135.2778071,100.601476,2
73,113.1452867,117.7973761,126.4635569,95.175,2
74,226.521,230.7054283,225.060508,223.797,4
75,91.626,103.2926829,104.183,67.402439,2
76,101.9357198,105.4133949,103.5404157,96.8533487,1
77,136.084507,153.1877934,130.314554,124.7511737,1
78,194.4082251,200.3883117,190.9896104,191.8467532,1
79,145.2058824,150.804,142.6666667,142.147,1
80,112.5325103,119.9283951,116.2592593,101.4098765,3
81,87.7287597,95.5088596,110.5333939,57.144,2
82,186.7874564,193.7456446,185.554,181.0627178,1
83,159.0892608,169.5481172,154.06,153.6596932,1
84,113.2344961,118.4341085,126.9437984,94.3255814,2
85,132.1442865,140.9036335,134.1445498,121.3846761,2
86,174.8255977,189.751,173.4514768,161.2742616,1
87,98.5296804,97.6885845,114.6995434,83.201,2
88,120.1963982,126.1671764,123.9622834,110.459735,3
89,110.282,121.1624549,116.9841155,92.699639,1
90,166.5386473,186.2971014,162.9275362,150.3913043,1
91,117.862,129.416442,121.5592992,102.6105121,1
92,232.4825397,236.8404762,232.7,227.9071429,4
93,112.9763206,108.579235,105.459,124.8907104,1
94,156.087146,154.5163399,151.5947712,162.1503268,1
95,179.9078014,185.532,177.9226306,176.2688588,1
96,105.2345679,113.4098765,112.2432099,90.0506173,3
97,233.5307754,238.0155875,232.875,229.7018385,4
98,242.2155108,243.901,242.1375839,240.608,4
99,159.829,177.0458453,153.0716332,149.3696275,1
100,241.3527027,245.0344595,241.3466216,237.677,4
101,96.9221128,101.480752,107.5792301,81.7063563,3
102,229.679,232.2665848,228.0896806,228.6805897,4
