id,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,label
0,-0.4394,-0.093,0.1718,0.462,0.6226,0.4704,0.3578,0.0478,-0.1184,-0.231,-0.2958,1
1,-0.4348,-0.1198,0.2474,0.4036,0.5026,0.6328,0.4948,0.0338,-0.052,-0.1302,-0.0964,1
2,-0.233,0.2124,0.5014,0.5222,-0.3422,-0.584,-0.7168,-0.6342,-0.8614,-0.8318,-0.7228,2
3,-0.3808,-0.0096,0.2602,0.2554,-0.429,-0.6746,-0.6868,-0.665,-0.841,-0.9614,-0.7374,2
4,-0.3412,0.0946,0.6082,0.6216,-0.1622,-0.3784,-0.4324,-0.4358,-0.4966,-0.5406,-0.5472,3
5,-0.4634,0.0306,0.3546,0.4448,-0.1022,-0.4184,-0.6388,-0.437,-0.4396,-0.6654,-0.7424,3
6,-0.3364,-0.0102,0.2132,0.2018,-0.6146,-0.838,-0.813,-0.724,-0.8062,-0.8996,-0.7766,4
7,-0.4798,-0.158,0.1764,0.182,-0.6378,-0.84,-0.728,-0.6654,-0.7978,-0.7904,-0.8088,4
8,-0.3928,0.0424,0.2166,0.2124,-0.4564,-0.62,-0.7112,-0.6602,-0.6942,-0.792,-0.8026,5
9,-0.5494,-0.094,0.2868,0.2964,-0.5326,-0.7204,-0.7518,-0.7398,-0.8482,-0.8386,-0.8988,5
10,-0.3646,0.0904,0.2374,0.3044,0.6188,0.7592,0.9264,0.6522,0.6054,0.2442,0.224,6
11,-0.6926,-0.3318,-0.1414,-0.1512,0.0098,0.2926,0.244,0.3074,-0.0098,-0.0536,-0.0634,6
12,-0.2532,0.167,0.347,0.3734,-0.257,-0.726,-0.8086,-0.636,-0.7748,-0.8536,-0.8386,7
13,-0.403,-0.1284,0.2986,0.2358,-0.9134,-0.7552,-0.7642,-0.7134,-0.7014,-0.794,-0.8268,7
14,-0.3216,0.186,0.1248,0.3654,0.488,0.4618,-0.1816,-0.0854,-0.2516,-0.453,-0.4354,8
15,-0.5368,-0.2516,0.1448,0.1848,0.3184,0.1982,0.1046,-0.2472,-0.3898,-0.3364,-0.3364,8
16,-0.455,-0.1044,-0.0924,-0.03,0.1068,0.3782,0.8248,0.9856,1,0.964,0.9784,9
17,-0.4804,-0.1238,0.0792,0.1114,0.07,0.4096,0.445,0.7326,0.8448,0.9616,1,9
18,-0.3368,0.0026,0.5802,0.4706,0.2514,-0.091,-0.361,-0.3664,-0.2326,-0.4866,-0.5,10
19,-0.588,-0.2028,0.1304,0.2278,0.2132,-0.1822,-0.296,-0.3084,-0.7722,-0.4224,-0.5052,10
20,-0.256,0.391,0.263,0.4948,0.7854,0.8132,0.346,0.218,0.083,-0.1418,-0.2214,11
21,-0.3896,0.1042,0.319,0.4478,0.8252,0.7576,0.5982,0.319,0.23,0.0184,-0.0062,11
22,-0.3384,0.1034,0.226,0.3206,0.7114,0.6372,0.6808,0.3026,0.1468,-0.0932,-0.1776,12
23,-0.481,-0.1146,0.2654,0.289,0.5102,0.5514,0.618,0.236,0.0696,-0.0324,-0.003,12
24,-0.2116,0.2024,0.4222,0.4596,0.7216,0.5954,0.434,0.069,0.0036,-0.2234,-0.055,13
25,-0.5672,-0.2202,0.022,0.0734,0.1058,0.1516,0.224,-0.1058,-0.1898,-0.102,-0.3156,13
26,-0.516,-0.212,0.1686,0.1976,0.1562,-0.0176,-0.0362,-0.0672,-0.154,-0.636,-0.4106,14
27,-0.533,-0.0868,0.1838,0.2394,0.4428,0.2694,-0.015,-0.2924,-0.422,-0.5654,-0.6232,14
28,-0.3656,0.0296,0.316,0.5526,0.903,0.9574,0.9834,0.8556,0.9314,0.9692,0.3822,15
29,-0.5154,-0.174,0.314,0.5392,0.8566,0.9488,0.7884,0.7508,0.8464,1,0.7542,15
30,-0.3098,0.2158,0.3686,0.4566,-0.0484,-0.4362,-0.812,-0.5712,-0.4538,-0.8532,-0.718,16
31,-0.3762,0.0632,0.2266,0.3142,-0.206,-0.4752,-0.7284,-0.5858,-0.6156,-0.7032,-0.7538,16
32,-0.3176,0.0996,0.3048,0.3744,-0.3492,-0.6208,-0.6998,-0.643,-0.7884,-0.763,-0.6936,17
